signal,regime,h(bars),n,mean%,net%,hit%,t
mr_zscore<-2,all,4,44822,0.078,-0.836,53.3,5.9
mr_zscore<-2,all,8,44822,0.084,-0.83,52.2,4.8
mr_zscore<-2,all,24,44818,0.33,-0.584,51.8,11.2
mr_zscore<-2,all,48,44815,0.411,-0.503,51.0,10.7
mr_zscore<-2,trend,4,31903,0.113,-0.803,53.7,7.0
mr_zscore<-2,trend,8,31903,0.09,-0.825,52.0,4.3
mr_zscore<-2,trend,24,31901,0.345,-0.571,51.5,9.8
mr_zscore<-2,trend,48,31901,0.405,-0.511,50.5,8.8
mr_zscore<-2,range,4,3980,-0.056,-0.966,52.3,-1.3
mr_zscore<-2,range,8,3980,0.096,-0.814,53.1,1.8
mr_zscore<-2,range,24,3980,0.19,-0.721,51.9,1.9
mr_zscore<-2,range,48,3979,0.612,-0.299,53.2,4.9
mr_zscore<-2,mid,4,8939,0.013,-0.898,52.4,0.5
mr_zscore<-2,mid,8,8939,0.055,-0.856,52.6,1.4
mr_zscore<-2,mid,24,8937,0.339,-0.572,52.5,5.2
mr_zscore<-2,mid,48,8935,0.345,-0.566,51.9,4.2
mr_vwapdev<-2,all,4,27865,0.167,-0.752,54.2,10.1
mr_vwapdev<-2,all,8,27865,0.133,-0.787,51.5,6.2
mr_vwapdev<-2,all,24,27858,0.529,-0.391,52.1,14.7
mr_vwapdev<-2,all,48,27858,0.538,-0.382,50.1,11.4
mr_vwapdev<-2,trend,4,18915,0.188,-0.729,54.9,8.9
mr_vwapdev<-2,trend,8,18915,0.135,-0.783,51.9,5.0
mr_vwapdev<-2,trend,24,18911,0.523,-0.395,52.4,11.8
mr_vwapdev<-2,trend,48,18911,0.54,-0.378,50.5,9.5
mr_vwapdev<-2,range,4,3753,0.104,-0.829,52.0,2.8
mr_vwapdev<-2,range,8,3753,0.095,-0.838,49.7,1.8
mr_vwapdev<-2,range,24,3753,0.604,-0.329,50.9,6.2
mr_vwapdev<-2,range,48,3753,0.636,-0.297,48.9,4.6
mr_vwapdev<-2,mid,4,5197,0.137,-0.782,53.2,4.0
mr_vwapdev<-2,mid,8,5197,0.154,-0.765,51.6,3.4
mr_vwapdev<-2,mid,24,5194,0.495,-0.423,51.9,6.2
mr_vwapdev<-2,mid,48,5194,0.459,-0.46,49.5,4.3
bo_keltner+exp,all,4,32112,0.078,-0.817,47.3,4.9
bo_keltner+exp,all,8,32106,0.19,-0.705,48.7,9.0
bo_keltner+exp,all,24,32092,0.495,-0.399,48.7,13.7
bo_keltner+exp,all,48,32075,1.071,0.177,51.1,21.8
bo_keltner+exp,trend,4,26720,0.055,-0.837,47.1,3.2
bo_keltner+exp,trend,8,26714,0.163,-0.729,48.6,7.2
bo_keltner+exp,trend,24,26704,0.46,-0.432,48.5,11.7
bo_keltner+exp,trend,48,26689,1.092,0.201,51.2,20.3
bo_keltner+exp,range,4,1141,0.182,-0.731,49.9,2.2
bo_keltner+exp,range,8,1141,0.272,-0.642,50.3,2.3
bo_keltner+exp,range,24,1140,0.623,-0.29,47.7,3.0
bo_keltner+exp,range,48,1140,0.886,-0.028,48.1,3.3
bo_keltner+exp,mid,4,4251,0.196,-0.712,47.7,4.1
bo_keltner+exp,mid,8,4251,0.338,-0.57,48.9,5.1
bo_keltner+exp,mid,24,4248,0.685,-0.224,50.4,6.8
bo_keltner+exp,mid,48,4246,0.989,0.081,51.5,7.2
bo_donchian20,all,4,31114,0.015,-0.866,45.5,1.0
bo_donchian20,all,8,31107,0.036,-0.846,46.5,1.8
bo_donchian20,all,24,31091,0.109,-0.772,46.4,3.2
bo_donchian20,all,48,31063,0.514,-0.368,48.3,10.7
bo_donchian20,trend,4,20667,-0.01,-0.892,45.2,-0.6
bo_donchian20,trend,8,20661,0.018,-0.864,46.6,0.7
bo_donchian20,trend,24,20653,0.194,-0.688,46.9,4.5
bo_donchian20,trend,48,20639,0.668,-0.214,48.7,11.1
bo_donchian20,range,4,3709,0.102,-0.78,47.1,2.4
bo_donchian20,range,8,3709,0.045,-0.836,45.9,0.8
bo_donchian20,range,24,3704,-0.159,-1.041,44.5,-1.7
bo_donchian20,range,48,3699,0.151,-0.731,47.1,1.2
bo_donchian20,mid,4,6738,0.047,-0.834,45.8,1.5
bo_donchian20,mid,8,6737,0.087,-0.794,46.6,2.0
bo_donchian20,mid,24,6734,-0.002,-0.883,46.1,-0.0
bo_donchian20,mid,48,6725,0.242,-0.639,47.9,2.4
volimb>0.4,all,4,84596,0.015,-0.876,46.7,1.8
volimb>0.4,all,8,84589,0.062,-0.83,47.7,5.3
volimb>0.4,all,24,84551,0.122,-0.77,47.0,6.0
volimb>0.4,all,48,84444,0.439,-0.453,48.5,15.5
volimb>0.4,trend,4,50611,0.015,-0.87,46.4,1.4
volimb>0.4,trend,8,50606,0.087,-0.799,48.1,5.7
volimb>0.4,trend,24,50590,0.21,-0.676,47.8,8.0
volimb>0.4,trend,48,50544,0.611,-0.274,49.3,16.7
volimb>0.4,range,4,15880,-0.017,-0.919,47.6,-0.9
volimb>0.4,range,8,15879,-0.026,-0.929,47.1,-1.0
volimb>0.4,range,24,15864,-0.033,-0.936,45.8,-0.7
volimb>0.4,range,48,15833,0.04,-0.863,47.1,0.6
volimb>0.4,mid,4,18105,0.043,-0.854,46.8,2.4
volimb>0.4,mid,8,18104,0.068,-0.828,47.3,2.7
volimb>0.4,mid,24,18097,0.011,-0.886,45.6,0.3
volimb>0.4,mid,48,18067,0.305,-0.592,47.4,4.9
