signal,regime,h(bars),n,mean%,net%,hit%,t
mr_zscore<-2,all,3,10021,0.097,-1.134,53.4,1.9
mr_zscore<-2,all,6,10021,0.391,-0.84,53.8,5.9
mr_zscore<-2,all,12,10021,0.41,-0.822,51.9,4.8
mr_zscore<-2,all,24,10016,0.732,-0.5,53.1,6.4
mr_zscore<-2,all,48,9942,1.189,-0.045,50.4,8.0
mr_zscore<-2,trend,3,7781,0.191,-1.038,53.9,3.3
mr_zscore<-2,trend,6,7781,0.586,-0.643,54.5,7.9
mr_zscore<-2,trend,12,7781,0.638,-0.591,52.2,6.7
mr_zscore<-2,trend,24,7778,1.03,-0.199,54.0,8.0
mr_zscore<-2,trend,48,7716,1.598,0.367,51.0,9.5
mr_zscore<-2,range,3,590,-0.052,-1.331,53.9,-0.3
mr_zscore<-2,range,6,590,0.13,-1.15,54.7,0.5
mr_zscore<-2,range,12,590,-0.722,-2.001,53.2,-1.8
mr_zscore<-2,range,24,590,-0.699,-1.978,50.7,-1.4
mr_zscore<-2,range,48,586,-1.655,-2.937,47.1,-2.8
mr_zscore<-2,mid,3,1650,-0.292,-1.517,50.9,-2.2
mr_zscore<-2,mid,6,1650,-0.434,-1.659,50.0,-2.5
mr_zscore<-2,mid,12,1650,-0.264,-1.489,50.4,-1.2
mr_zscore<-2,mid,24,1648,-0.167,-1.393,49.8,-0.6
mr_zscore<-2,mid,48,1640,0.277,-0.949,48.7,0.8
mr_vwapdev<-2,all,3,6566,0.249,-1.002,52.4,4.1
mr_vwapdev<-2,all,6,6566,0.62,-0.631,53.8,7.5
mr_vwapdev<-2,all,12,6566,0.594,-0.657,49.2,5.4
mr_vwapdev<-2,all,24,6566,0.957,-0.294,50.3,6.4
mr_vwapdev<-2,all,48,6532,0.922,-0.329,45.1,4.6
mr_vwapdev<-2,trend,3,4906,0.307,-0.931,53.0,4.3
mr_vwapdev<-2,trend,6,4906,0.747,-0.491,55.1,7.7
mr_vwapdev<-2,trend,12,4906,0.642,-0.597,49.7,5.2
mr_vwapdev<-2,trend,24,4906,1.077,-0.161,50.7,6.4
mr_vwapdev<-2,trend,48,4882,1.045,-0.193,45.9,4.7
mr_vwapdev<-2,range,3,693,0.189,-1.126,49.8,1.0
mr_vwapdev<-2,range,6,693,0.639,-0.676,51.7,2.7
mr_vwapdev<-2,range,12,693,0.954,-0.361,47.8,2.4
mr_vwapdev<-2,range,24,693,0.644,-0.671,46.8,1.2
mr_vwapdev<-2,range,48,689,1.23,-0.085,44.6,1.6
mr_vwapdev<-2,mid,3,967,-0.0,-1.27,51.2,-0.0
mr_vwapdev<-2,mid,6,967,-0.038,-1.307,48.6,-0.2
mr_vwapdev<-2,mid,12,967,0.094,-1.176,48.1,0.3
mr_vwapdev<-2,mid,24,967,0.569,-0.701,50.7,1.4
mr_vwapdev<-2,mid,48,961,0.077,-1.192,41.9,0.1
bo_keltner+exp,all,3,8478,0.347,-0.793,47.4,6.3
bo_keltner+exp,all,6,8477,0.673,-0.468,48.8,8.9
bo_keltner+exp,all,12,8475,1.28,0.14,52.4,12.8
bo_keltner+exp,all,24,8474,2.189,1.048,52.9,15.6
bo_keltner+exp,all,48,8474,3.055,1.915,50.3,15.0
bo_keltner+exp,trend,3,7164,0.383,-0.756,47.1,6.3
bo_keltner+exp,trend,6,7163,0.749,-0.39,49.2,9.0
bo_keltner+exp,trend,12,7161,1.338,0.199,52.8,12.3
bo_keltner+exp,trend,24,7160,2.296,1.156,53.6,15.0
bo_keltner+exp,trend,48,7160,2.892,1.753,50.3,13.3
bo_keltner+exp,range,3,288,0.478,-0.66,53.1,1.8
bo_keltner+exp,range,6,288,0.83,-0.308,51.7,2.2
bo_keltner+exp,range,12,288,1.568,0.43,53.1,2.8
bo_keltner+exp,range,24,288,2.094,0.956,50.0,2.5
bo_keltner+exp,range,48,288,5.931,4.793,54.2,4.3
bo_keltner+exp,mid,3,1026,0.062,-1.089,47.6,0.4
bo_keltner+exp,mid,6,1026,0.092,-1.059,44.7,0.5
bo_keltner+exp,mid,12,1026,0.796,-0.356,49.3,2.7
bo_keltner+exp,mid,24,1026,1.471,0.319,49.3,3.8
bo_keltner+exp,mid,48,1026,3.384,2.233,49.4,5.4
bo_donchian20,all,3,8025,0.187,-0.924,47.2,3.7
bo_donchian20,all,6,8024,0.29,-0.821,46.9,4.2
bo_donchian20,all,12,8017,0.663,-0.447,48.5,6.9
bo_donchian20,all,24,8013,1.013,-0.097,48.1,7.5
bo_donchian20,all,48,8013,1.433,0.322,46.7,7.1
bo_donchian20,trend,3,5515,0.26,-0.846,46.9,4.2
bo_donchian20,trend,6,5514,0.484,-0.623,47.7,5.6
bo_donchian20,trend,12,5511,1.004,-0.103,50.1,8.4
bo_donchian20,trend,24,5510,1.431,0.324,49.8,8.6
bo_donchian20,trend,48,5510,1.705,0.598,48.0,7.0
bo_donchian20,range,3,885,0.036,-1.098,48.7,0.3
bo_donchian20,range,6,885,-0.069,-1.203,46.1,-0.4
bo_donchian20,range,12,883,0.01,-1.124,44.3,0.0
bo_donchian20,range,24,882,0.306,-0.828,44.0,0.8
bo_donchian20,range,48,882,1.017,-0.117,43.2,1.7
bo_donchian20,mid,3,1625,0.018,-1.092,47.1,0.2
bo_donchian20,mid,6,1625,-0.174,-1.285,44.5,-1.2
bo_donchian20,mid,12,1623,-0.137,-1.248,45.3,-0.7
bo_donchian20,mid,24,1621,-0.021,-1.131,44.8,-0.1
bo_donchian20,mid,48,1621,0.735,-0.376,44.3,1.7
volimb>0.4,all,3,20862,0.179,-0.962,47.2,5.9
volimb>0.4,all,6,20857,0.315,-0.827,47.3,7.4
volimb>0.4,all,12,20849,0.509,-0.633,48.0,8.8
volimb>0.4,all,24,20843,0.892,-0.25,47.5,10.6
volimb>0.4,all,48,20838,1.299,0.157,46.6,10.5
volimb>0.4,trend,3,13056,0.256,-0.864,47.2,6.4
volimb>0.4,trend,6,13052,0.435,-0.684,47.9,8.0
volimb>0.4,trend,12,13049,0.75,-0.369,49.7,10.3
volimb>0.4,trend,24,13049,1.206,0.087,48.6,11.3
volimb>0.4,trend,48,13049,1.267,0.148,47.1,8.2
volimb>0.4,range,3,3595,-0.081,-1.277,45.9,-1.2
volimb>0.4,range,6,3595,0.033,-1.163,45.7,0.3
volimb>0.4,range,12,3593,-0.157,-1.353,43.9,-1.1
volimb>0.4,range,24,3592,0.041,-1.155,43.7,0.2
volimb>0.4,range,48,3588,1.14,-0.056,45.2,3.7
volimb>0.4,mid,3,4211,0.165,-1.0,48.6,2.6
volimb>0.4,mid,6,4210,0.182,-0.983,47.1,2.0
volimb>0.4,mid,12,4207,0.33,-0.835,46.3,2.6
volimb>0.4,mid,24,4202,0.642,-0.523,47.0,3.5
volimb>0.4,mid,48,4201,1.533,0.368,46.3,5.6
